ranking,producto,rubro,facturacion,acumulado_pct
1,Pollo Grille,Carnes y pescados,296000,5.2
2,Empanada de Carne Suave,Recomendados,216600,9.0
3,Milanesa de Ternera,Recomendados,148800,11.6
4,Calzón Calabrés (pequeño),Calzones,143200,14.1
5,Pollo al Verdeo,Carnes y pescados,138000,16.5
6,Empanada de Jamón y Queso,Empanadas,112200,18.4
7,Calzón Napolitano (pequeño),Calzones,107400,20.3
8,Pizza Mozzarella,Pizzas artesanales,106600,22.2
9,Gnocchi,Pastas,98800,23.9
10,Suprema Rellena con Papas a la Española,Carnes y pescados,92000,25.5
11,Ojo de Bife,Recomendados,85500,27.0
12,Pizza Percanta,Pizzas artesanales,85400,28.5
13,Percanta (para compartir),Recomendados,84000,30.0
14,Sorrentino (Jamón y Mozzarella),Recomendados,83900,31.4
15,Risotto al Frutti di Mare,Carnes y pescados,83400,32.9
16,American Ribbs,Carnes y pescados,80400,34.3
17,Pizza Cuatro quesos,Pizzas artesanales,75600,35.6
18,Pizza Veneciana,Pizzas artesanales,75000,36.9
19,Pizza Mexicana,Pizzas artesanales,75000,38.2
20,Bife de Costilla,Carnes y pescados,73500,39.5
21,Pizza Fugazzeta rellena,Pizzas artesanales,73000,40.8
22,Angélica Zapata Malbec,Vinos y cervezas,72000,42.0
23,Empanada de Verdura,Empanadas,71400,43.3
24,Pizza Napolitana,Pizzas artesanales,70800,44.5
25,Vegetariana,Pizzas artesanales,70500,45.8
26,Rúcula y Brie,Pizzas artesanales,69200,47.0
27,Risotto Pollo,Carnes y pescados,69000,48.2
28,Caesar con Pollo,Ensaladas,68400,49.4
29,Pizza Leonesa,Pizzas artesanales,66600,50.5
30,Salmón Rosado,Carnes y pescados,64800,51.7
31,Pizza Jamón y morrones,Pizzas artesanales,63500,52.8
32,Spaguetti,Pastas,62300,53.9
33,Penne Rigatti,Pastas,61400,54.9
34,Empanada de Atún,Empanadas,60000,56.0
35,Lomo al Champignon,Carnes y pescados,57000,57.0
36,Bife de Chorizo,Carnes y pescados,52000,57.9
37,D.V. Catena Malbec-Malbec,Vinos y cervezas,52000,58.8
38,Pollo al Curry,Carnes y pescados,51600,59.7
39,Primavera con Pollo,Ensaladas,51300,60.6
40,Empanada de Roquefort,Empanadas,51000,61.5
41,Tabla Percanta,Recomendados,47500,62.3
42,Merluza,Carnes y pescados,44000,63.1
43,Matambrito de Cerdo,Carnes y pescados,42000,63.8
44,Bruschetta Tradicional,Entradas,41400,64.5
45,Spaghetti integral (de morrón y remolacha),Pastas,41200,65.3
46,Wok de Vegetales,Carnes y pescados,41200,66.0
47,Spaghetti integral (de espinaca),Pastas,41100,66.7
48,Suprema de Pollo,Carnes y pescados,40800,67.4
49,Empanada de Choclo,Empanadas,40800,68.1
50,Penne Rigatti sin gluten,Pastas,39600,68.8
51,Pizza Rúcula/Tomates Confitados,Pizzas artesanales,38900,69.5
52,MITAD Calabresa + MITAD Provolone,Otros,37600,70.2
53,Ananá,Pizzas artesanales,37600,70.8
54,Pizza Vegetariana,Pizzas artesanales,37600,71.5
55,Pizza Provolone,Pizzas artesanales,37600,72.1
56,Americano,Desayuno y merienda,36000,72.8
57,Pizza Fugazza con mozzarella,Pizzas artesanales,35400,73.4
58,Carpaccio de Lomo,Ensaladas,34400,74.0
59,Veggie-Burger,Hamburguesas,33600,74.6
60,Classic-Burger,Hamburguesas,33600,75.2
61,Pizza Roquefort,Pizzas artesanales,32800,75.7
62,Empanada Caprese,Empanadas,30600,76.3
63,Copa Helada (dos Gustos),Hora dulce,30600,76.8
64,Nachos Mex,Entradas,29200,77.3
65,Provoleta Clásica,Recomendados,29200,77.8
66,Omelette de Espinaca y Queso,Entradas,29000,78.3
67,Lomo a la Pimienta Negra,Recomendados,28500,78.8
68,Saint Felicien Malbec 2005,Vinos y cervezas,28000,79.3
69,Mozzarella Marinara,Entradas,27800,79.8
70,Papas Bravas o Tranquilas (Cheddar fundido),Entradas,27800,80.3
71,Pizza Margarita,Pizzas artesanales,27400,80.8
72,Trucha Ahumada,Carnes y pescados,27000,81.2
73,Alamos Extra Brut - Catena Zapata,Vinos y cervezas,27000,81.7
74,Continental,Desayuno y merienda,26000,82.2
75,Sorrentino (Salmón),Pastas,25300,82.6
76,Empanada de Queso y Cebolla,Empanadas,23800,83.0
77,Patagónica con Trucha,Ensaladas,21900,83.4
78,Gnocchi rellenos,Pastas,21800,83.8
79,Tallarín casero,Pastas,21800,84.2
80,Panzotti de Pollo-Funghi,Pastas,21600,84.5
81,Fruta,Desayuno y merienda,21500,84.9
82,Coca-Cola Light,Bebidas,21000,85.3
83,Risotto de Vegetales,Carnes y pescados,21000,85.7
84,Crumble tibia de Manzana,Hora dulce,20800,86.0
85,Huevos x 2 (fritos o duros),Entradas,20800,86.4
86,Romana Langostinos,Entradas,20500,86.7
87,Baileys,Cafetería,19800,87.1
88,Sándwich de Pan de Molde de Jamón Cocido,Sándwiches,19600,87.4
89,Infusión Té Negro en Hebras,Cafetería,19200,87.8
90,Romana Rabas (con salsa Provenzal),Entradas,18500,88.1
91,Limonada,Bebidas,18000,88.4
92,Chocotorta,Recomendados,17800,88.7
93,Empanada de Pollo,Empanadas,17500,89.0
94,Patagonia Burger,Hamburguesas,17400,89.3
95,Rogel de Dulce de Leche,Tortas,17200,89.6
96,Capuchino (americano / uruguayo),Cafetería,17200,89.9
97,Chocolate Caliente (Temporada Invernal),Cafetería,17100,90.2
